ID;FROM;TO;WEEK-DAY;HOUR;PRICE;TYPE
1770;Canindezinho;Messejana;3;12;16.33;2
1771;Parque Presidente Vargas;Dende;1;10;16.34;2
1772;Parque Presidente Vargas;Messejana;3;14;15.75;2
1773;Genibaú;Parque Dois Irmaos;5;12;14.79;2
1774;Siqueira;Parque Dois Irmaos;5;10;16.5;2
1775;Canindezinho;Cajazeiras;6;13;15.63;2
1776;Canindezinho;Cajazeiras;6;19;19.81;2
1777;Genibaú;Dende;7;20;17.25;2
1778;Canindezinho;Autran Nunes;6;10;16.77;2
1779;Canindezinho;Dende;2;7;18.09;2
1780;Genibaú;Cajazeiras;5;20;14.61;2
1781;Parque Presidente Vargas;Dende;7;22;13.36;2
1782;Siqueira;Parque Dois Irmaos;7;14;17.62;2
1783;Genibaú;Dende;5;16;17.96;2
1784;Siqueira;Cajazeiras;4;17;19.02;2
1785;Siqueira;Cajazeiras;1;22;15.44;2
1786;Siqueira;Cajazeiras;6;21;17.51;2
1787;Canindezinho;Cajazeiras;7;17;17.65;2
1788;Siqueira;Autran Nunes;7;10;17.95;2
1789;Canindezinho;Parque Dois Irmaos;6;12;14.6;2
1790;Genibaú;Parque Dois Irmaos;5;10;14.39;2
1791;Siqueira;Dende;2;20;17.03;2
1792;Siqueira;Parque Dois Irmaos;4;22;16.26;2
1793;Genibaú;Dende;3;14;16.47;2
1794;Parque Presidente Vargas;Autran Nunes;6;12;14.81;2
1795;Parque Presidente Vargas;Dende;6;12;14.69;2
1796;Canindezinho;Dende;6;18;17.57;2
1797;Genibaú;Cajazeiras;6;13;16.81;2
1798;Genibaú;Messejana;7;14;16.05;2
1799;Canindezinho;Cajazeiras;3;9;17.85;2
1800;Siqueira;Parque Dois Irmaos;6;19;19.12;2
1801;Siqueira;Cajazeiras;3;22;16.29;2
1802;Genibaú;Parque Dois Irmaos;6;14;16.16;2
1803;Genibaú;Dende;6;8;17.46;2
1804;Canindezinho;Parque Dois Irmaos;2;9;17.98;2
1805;Siqueira;Messejana;4;12;16.74;2
1806;Parque Presidente Vargas;Autran Nunes;7;20;15.86;2
1807;Genibaú;Parque Dois Irmaos;6;4;13.5;2
1808;Genibaú;Autran Nunes;4;12;14.81;2
1809;Genibaú;Dende;4;11;18.26;2
1810;Genibaú;Parque Dois Irmaos;6;2;16.71;2
1811;Parque Presidente Vargas;Messejana;5;20;13.82;2
1812;Siqueira;Parque Dois Irmaos;3;16;18.79;2
1813;Canindezinho;Messejana;7;14;15.69;2
1814;Siqueira;Messejana;4;22;16.72;2
1815;Genibaú;Cajazeiras;3;21;16.69;2
1816;Siqueira;Parque Dois Irmaos;6;18;17.54;2
1817;Parque Presidente Vargas;Cajazeiras;5;10;15.03;2
1818;Siqueira;Cajazeiras;1;1;16.47;2
1819;Canindezinho;Dende;6;10;17.52;2
1820;Parque Presidente Vargas;Parque Dois Irmaos;2;22;13.16;2
1821;Parque Presidente Vargas;Dende;3;9;19.31;2
1822;Genibaú;Parque Dois Irmaos;7;19;17.47;2
1823;Siqueira;Dende;4;9;18.47;2
1824;Canindezinho;Dende;7;24;18.8;2
1825;Canindezinho;Parque Dois Irmaos;7;0;16.39;2
1826;Parque Presidente Vargas;Autran Nunes;7;5;16.71;2
1827;Canindezinho;Parque Dois Irmaos;5;17;19.06;2
1828;Genibaú;Autran Nunes;1;13;16.34;2
1829;Siqueira;Dende;5;17;17.44;2
1830;Canindezinho;Cajazeiras;3;9;19.81;2
1831;Siqueira;Dende;6;8;16.48;2
1832;Parque Presidente Vargas;Cajazeiras;1;17;19.67;2
1833;Parque Presidente Vargas;Parque Dois Irmaos;5;9;19.54;2
1834;Canindezinho;Messejana;1;9;17.47;2
1835;Genibaú;Autran Nunes;1;1;14.87;2
1836;Canindezinho;Autran Nunes;1;22;13.44;2
1837;Siqueira;Dende;5;13;15.24;2
1838;Siqueira;Cajazeiras;4;7;19.78;2
1839;Siqueira;Dende;1;14;14.35;2
1840;Canindezinho;Autran Nunes;7;12;18.46;2
1841;Parque Presidente Vargas;Cajazeiras;3;9;20.46;2
1842;Canindezinho;Cajazeiras;3;13;16.1;2
1843;Genibaú;Parque Dois Irmaos;5;12;17.69;2
1844;Canindezinho;Messejana;2;22;15.96;2
1845;Parque Presidente Vargas;Parque Dois Irmaos;1;10;16.37;2
1846;Parque Presidente Vargas;Autran Nunes;5;20;13.49;2
1847;Parque Presidente Vargas;Cajazeiras;5;20;17.37;2
1848;Parque Presidente Vargas;Dende;5;9;19.84;2
1849;Canindezinho;Messejana;2;19;20.43;2
1850;Parque Presidente Vargas;Parque Dois Irmaos;7;21;15.25;2
1851;Parque Presidente Vargas;Cajazeiras;6;19;15.83;2
1852;Parque Presidente Vargas;Dende;7;10;14.76;2
1853;Siqueira;Autran Nunes;3;0;13.16;2
1854;Canindezinho;Messejana;1;24;14.61;2
1855;Canindezinho;Cajazeiras;1;15;18.28;2
1856;Canindezinho;Parque Dois Irmaos;5;12;17.7;2
1857;Parque Presidente Vargas;Messejana;1;3;15.43;2
1858;Genibaú;Autran Nunes;6;14;14.57;2
1859;Parque Presidente Vargas;Dende;6;23;13.64;2
1860;Parque Presidente Vargas;Messejana;5;17;17.04;2
1861;Parque Presidente Vargas;Messejana;2;7;20.07;2
1862;Parque Presidente Vargas;Cajazeiras;6;9;17.51;2
1863;Canindezinho;Cajazeiras;2;12;16.39;2
1864;Siqueira;Parque Dois Irmaos;7;12;18.75;2
1865;Siqueira;Cajazeiras;1;6;14.8;2
1866;Canindezinho;Cajazeiras;6;12;15.17;2
1867;Canindezinho;Cajazeiras;1;18;16.15;2
1868;Canindezinho;Parque Dois Irmaos;4;2;16.66;2
1869;Canindezinho;Parque Dois Irmaos;7;7;19.63;2
1870;Genibaú;Dende;5;20;17.52;2
1871;Genibaú;Messejana;1;22;16.99;2
1872;Parque Presidente Vargas;Dende;2;16;15.75;2
1873;Canindezinho;Autran Nunes;6;8;19.34;2
1874;Genibaú;Parque Dois Irmaos;1;20;15.44;2
1875;Genibaú;Parque Dois Irmaos;7;4;14.46;2
1876;Canindezinho;Messejana;2;14;15.44;2
1877;Canindezinho;Cajazeiras;5;18;18.82;2
1878;Parque Presidente Vargas;Parque Dois Irmaos;4;19;18.24;2
1879;Parque Presidente Vargas;Autran Nunes;5;22;14.51;2
1880;Genibaú;Autran Nunes;1;23;14.64;2
1881;Parque Presidente Vargas;Cajazeiras;4;10;15.44;2
1882;Genibaú;Cajazeiras;6;19;18.91;2
1883;Canindezinho;Dende;1;20;15.02;2
1884;Genibaú;Parque Dois Irmaos;5;11;15.17;2
1885;Parque Presidente Vargas;Autran Nunes;1;10;14.86;2
1886;Siqueira;Cajazeiras;5;8;15.9;2
1887;Parque Presidente Vargas;Autran Nunes;6;20;16.34;2
1888;Canindezinho;Autran Nunes;6;18;16.75;2
1889;Parque Presidente Vargas;Cajazeiras;2;23;15.38;2
1890;Genibaú;Messejana;4;14;17.77;2
1891;Siqueira;Parque Dois Irmaos;6;17;18.6;2
1892;Parque Presidente Vargas;Dende;7;9;17.27;2
1893;Parque Presidente Vargas;Messejana;5;10;17.79;2
1894;Parque Presidente Vargas;Autran Nunes;3;10;16.1;2
1895;Canindezinho;Dende;2;13;15.2;2
1896;Canindezinho;Autran Nunes;7;16;14.39;2
1897;Siqueira;Dende;7;17;20.67;2
1898;Canindezinho;Autran Nunes;5;20;16.37;2
1899;Genibaú;Autran Nunes;2;10;18.71;2
1900;Parque Presidente Vargas;Messejana;3;20;15.63;2
1901;Parque Presidente Vargas;Messejana;7;4;15.59;2
1902;Parque Presidente Vargas;Dende;6;20;14.18;2
1903;Canindezinho;Messejana;1;23;14.76;2
1904;Genibaú;Parque Dois Irmaos;3;0;14.68;2
1905;Siqueira;Parque Dois Irmaos;3;21;16.78;2
1906;Parque Presidente Vargas;Messejana;3;10;18.29;2
1907;Siqueira;Autran Nunes;7;19;18.62;2
1908;Genibaú;Messejana;4;19;17.33;2
1909;Siqueira;Autran Nunes;4;18;16.37;2
1910;Genibaú;Parque Dois Irmaos;3;17;20.27;2
1911;Parque Presidente Vargas;Dende;6;19;17.89;2
1912;Genibaú;Cajazeiras;5;4;16.02;2
1913;Genibaú;Messejana;7;21;15.25;2
1914;Siqueira;Autran Nunes;7;22;16.52;2
1915;Canindezinho;Dende;5;17;17.94;2
1916;Parque Presidente Vargas;Messejana;5;14;14.36;2
1917;Genibaú;Autran Nunes;1;22;15.33;2
1918;Siqueira;Parque Dois Irmaos;3;12;18.51;2
1919;Canindezinho;Messejana;7;4;16.2;2
1920;Canindezinho;Messejana;6;15;15.1;2
1921;Siqueira;Parque Dois Irmaos;3;12;16.42;2
1922;Siqueira;Messejana;1;21;16.05;2
1923;Siqueira;Autran Nunes;6;18;15.58;2
1924;Parque Presidente Vargas;Messejana;1;10;17.01;2
1925;Siqueira;Autran Nunes;2;2;13.91;2
1926;Parque Presidente Vargas;Messejana;1;23;13.35;2
1927;Siqueira;Cajazeiras;4;9;17.82;2
1928;Genibaú;Cajazeiras;2;23;15.58;2
1929;Siqueira;Dende;6;18;16.81;2
1930;Siqueira;Messejana;3;2;13.96;2
1931;Siqueira;Messejana;5;10;17.09;2
1932;Siqueira;Cajazeiras;4;14;16.14;2
1933;Siqueira;Autran Nunes;3;21;14.72;2
1934;Siqueira;Cajazeiras;2;10;14.59;2
1935;Genibaú;Autran Nunes;3;18;16.61;2
1936;Parque Presidente Vargas;Autran Nunes;7;3;14.71;2
1937;Genibaú;Autran Nunes;4;7;16.65;2
1938;Siqueira;Cajazeiras;7;8;17.82;2
1939;Genibaú;Parque Dois Irmaos;6;24;18.63;2
1940;Siqueira;Cajazeiras;3;19;16.6;2
1941;Parque Presidente Vargas;Parque Dois Irmaos;7;13;15.77;2
1942;Canindezinho;Cajazeiras;7;13;18.49;2
1943;Genibaú;Dende;3;12;18.67;2
1944;Parque Presidente Vargas;Dende;7;15;17.67;2
1945;Genibaú;Messejana;3;12;16.83;2
1946;Genibaú;Messejana;5;11;18.35;2
1947;Parque Presidente Vargas;Autran Nunes;7;17;18.75;2
1948;Canindezinho;Parque Dois Irmaos;7;20;14.27;2
1949;Parque Presidente Vargas;Autran Nunes;3;8;16.92;2
1950;Canindezinho;Messejana;1;8;17.17;2
1951;Parque Presidente Vargas;Dende;5;13;15.53;2
1952;Siqueira;Autran Nunes;4;12;17.52;2
1953;Parque Presidente Vargas;Messejana;2;19;18;2
1954;Parque Presidente Vargas;Messejana;3;17;19.88;2
1955;Siqueira;Cajazeiras;5;10;18.78;2
1956;Canindezinho;Dende;1;0;15.26;2
1957;Parque Presidente Vargas;Messejana;5;10;15.28;2
1958;Canindezinho;Parque Dois Irmaos;1;11;15.7;2
1959;Canindezinho;Messejana;5;14;17.52;2
1960;Parque Presidente Vargas;Messejana;3;22;17.58;2
1961;Siqueira;Messejana;6;5;17.32;2
1962;Parque Presidente Vargas;Dende;5;18;16.62;2
1963;Canindezinho;Autran Nunes;2;8;16.45;2
1964;Genibaú;Autran Nunes;6;6;12.85;2
1965;Parque Presidente Vargas;Parque Dois Irmaos;2;3;13.34;2
1966;Genibaú;Dende;7;19;17.28;2
1967;Canindezinho;Cajazeiras;4;10;17.13;2
1968;Canindezinho;Autran Nunes;7;11;15.06;2
1969;Parque Presidente Vargas;Parque Dois Irmaos;3;18;16.98;2
1970;Genibaú;Autran Nunes;6;14;16.77;2
1971;Parque Presidente Vargas;Autran Nunes;6;13;15.27;2
1972;Genibaú;Dende;4;8;19.43;2
1973;Genibaú;Parque Dois Irmaos;1;18;17.68;2
1974;Parque Presidente Vargas;Messejana;7;15;15.81;2
1975;Siqueira;Autran Nunes;4;13;18.06;2
1976;Siqueira;Parque Dois Irmaos;2;3;14.05;2
1977;Parque Presidente Vargas;Messejana;4;11;14.43;2
1978;Genibaú;Messejana;1;5;15.67;2
1979;Canindezinho;Messejana;3;21;15.1;2
1980;Parque Presidente Vargas;Cajazeiras;7;7;19.87;2
1981;Siqueira;Cajazeiras;7;0;13.29;2
1982;Parque Presidente Vargas;Autran Nunes;2;17;16.59;2
1983;Parque Presidente Vargas;Autran Nunes;5;12;14.36;2
1984;Canindezinho;Messejana;6;13;18.24;2
1985;Genibaú;Autran Nunes;6;13;15.57;2
1986;Genibaú;Autran Nunes;4;22;15.57;2
1987;Canindezinho;Autran Nunes;6;14;18.55;2
1988;Canindezinho;Autran Nunes;7;9;16.59;2
1989;Genibaú;Cajazeiras;4;10;17.21;2
1990;Canindezinho;Messejana;3;15;14.87;2
1991;Genibaú;Autran Nunes;6;18;17.73;2
1992;Genibaú;Cajazeiras;6;24;16.64;2
1993;Genibaú;Messejana;5;7;18.86;2
1994;Canindezinho;Dende;7;9;15.85;2
1995;Genibaú;Autran Nunes;3;19;15.48;2
1996;Genibaú;Autran Nunes;5;8;16.67;2
1997;Canindezinho;Messejana;4;12;17.98;2
1998;Parque Presidente Vargas;Cajazeiras;4;23;13.42;2
1999;Canindezinho;Autran Nunes;5;11;17.65;2
2000;Canindezinho;Messejana;7;18;19.19;2
2001;Siqueira;Meireles;7;15;25.37;3
2002;Canindezinho;Meireles;6;12;32.11;3
2003;Parque Presidente Vargas;Aldeota;2;12;24.42;3
2004;Genibaú;Meireles;7;6;29.67;3
2005;Siqueira;Dionísio Torres;7;9;23.85;3
2006;Canindezinho;Mucuripe;5;11;32.09;3
2007;Genibaú;Aldeota;6;8;24.07;3
2008;Canindezinho;Mucuripe;3;24;25.87;3
2009;Parque Presidente Vargas;Dionísio Torres;3;11;24.77;3
2010;Canindezinho;Dionísio Torres;7;9;25.84;3
2011;Genibaú;Aldeota;7;16;22.31;3
2012;Canindezinho;Dionísio Torres;5;16;32.58;3
2013;Canindezinho;Mucuripe;5;12;31.99;3
2014;Siqueira;Mucuripe;7;1;23.04;3
2015;Genibaú;Dionísio Torres;6;7;34.83;3
2016;Genibaú;Meireles;1;1;26.6;3
2017;Siqueira;Dionísio Torres;4;13;30.06;3
2018;Parque Presidente Vargas;Dionísio Torres;3;8;34.81;3
2019;Siqueira;Mucuripe;2;20;28.15;3
2020;Canindezinho;Meireles;4;18;30.29;3
2021;Siqueira;Mucuripe;2;22;27.65;3
2022;Canindezinho;Aldeota;6;12;30.84;3
2023;Canindezinho;Aldeota;3;12;33.72;3
2024;Genibaú;Meireles;6;10;27.25;3
2025;Canindezinho;Mucuripe;3;14;33.12;3
2026;Parque Presidente Vargas;Meireles;6;18;27.8;3
2027;Siqueira;Meireles;5;20;29.61;3
2028;Parque Presidente Vargas;Dionísio Torres;3;18;25.3;3
2029;Canindezinho;Aldeota;1;13;34.02;3
2030;Siqueira;Mucuripe;6;12;35.4;3
2031;Genibaú;Dionísio Torres;6;14;28.75;3
2032;Siqueira;Aldeota;4;13;23.06;3
2033;Canindezinho;Meireles;3;4;33.32;3
2034;Siqueira;Meireles;5;21;30.95;3
2035;Siqueira;Mucuripe;7;2;28.88;3
2036;Canindezinho;Meireles;5;10;23.79;3
2037;Canindezinho;Meireles;6;12;27.21;3
2038;Siqueira;Aldeota;5;19;31.59;3
2039;Siqueira;Meireles;2;7;28.93;3
2040;Genibaú;Meireles;6;19;32.22;3
2041;Genibaú;Mucuripe;3;10;22.86;3
2042;Siqueira;Aldeota;1;2;25.79;3
2043;Siqueira;Mucuripe;7;24;24.01;3
2044;Genibaú;Mucuripe;3;10;22.54;3
2045;Canindezinho;Mucuripe;1;9;34.93;3
2046;Canindezinho;Aldeota;6;7;29.01;3
2047;Parque Presidente Vargas;Aldeota;4;24;28.5;3
2048;Parque Presidente Vargas;Mucuripe;7;18;25.38;3
2049;Canindezinho;Dionísio Torres;3;18;31.2;3
2050;Siqueira;Meireles;6;17;34.68;3
2051;Genibaú;Meireles;3;12;24.67;3
2052;Siqueira;Mucuripe;3;7;29.12;3
2053;Genibaú;Dionísio Torres;3;20;29.33;3
2054;Canindezinho;Aldeota;6;17;32.76;3
2055;Siqueira;Mucuripe;3;0;22.06;3
2056;Canindezinho;Aldeota;5;13;33.13;3
2057;Canindezinho;Mucuripe;6;10;24.94;3
2058;Siqueira;Aldeota;2;20;23.53;3
2059;Siqueira;Mucuripe;2;13;27.27;3
2060;Canindezinho;Meireles;2;20;22.91;3
2061;Genibaú;Mucuripe;3;17;30.48;3
2062;Canindezinho;Mucuripe;4;11;31.76;3
2063;Parque Presidente Vargas;Dionísio Torres;1;17;23.55;3
2064;Siqueira;Meireles;5;14;23.95;3
2065;Siqueira;Meireles;2;13;31.03;3
2066;Parque Presidente Vargas;Mucuripe;1;11;30.92;3
2067;Siqueira;Dionísio Torres;5;18;29.48;3
2068;Genibaú;Dionísio Torres;2;11;23.49;3
2069;Siqueira;Dionísio Torres;3;13;35.35;3
2070;Genibaú;Mucuripe;1;11;32.41;3
2071;Canindezinho;Dionísio Torres;6;19;32.14;3
2072;Canindezinho;Meireles;1;17;31.81;3
2073;Canindezinho;Aldeota;2;23;22.85;3
2074;Siqueira;Mucuripe;6;20;33.76;3
2075;Canindezinho;Meireles;6;19;28.99;3
2076;Siqueira;Aldeota;4;7;31.86;3
2077;Canindezinho;Meireles;1;9;24.41;3
2078;Parque Presidente Vargas;Meireles;4;10;22.98;3
2079;Parque Presidente Vargas;Aldeota;2;11;35.14;3
2080;Parque Presidente Vargas;Dionísio Torres;6;10;25.79;3
2081;Siqueira;Mucuripe;7;5;26.72;3
2082;Canindezinho;Aldeota;3;20;27.77;3
2083;Parque Presidente Vargas;Meireles;4;19;33.18;3
2084;Canindezinho;Mucuripe;1;14;29.98;3
2085;Canindezinho;Meireles;6;20;22.72;3
2086;Genibaú;Aldeota;3;9;27.06;3
2087;Siqueira;Aldeota;2;20;25.67;3
2088;Siqueira;Dionísio Torres;5;14;27.46;3
2089;Genibaú;Mucuripe;4;23;23.19;3
2090;Parque Presidente Vargas;Dionísio Torres;2;10;23.52;3
2091;Canindezinho;Aldeota;7;24;32.38;3
2092;Parque Presidente Vargas;Dionísio Torres;7;10;24.5;3
2093;Genibaú;Dionísio Torres;4;17;26.81;3
2094;Siqueira;Aldeota;7;17;34.98;3
2095;Siqueira;Aldeota;1;22;33.23;3
2096;Siqueira;Aldeota;3;7;24.19;3
2097;Canindezinho;Mucuripe;3;24;27.6;3
2098;Siqueira;Mucuripe;4;24;32.43;3
2099;Genibaú;Meireles;5;10;23.76;3
2100;Parque Presidente Vargas;Aldeota;2;20;25.7;3
2101;Parque Presidente Vargas;Mucuripe;3;7;24.54;3
2102;Canindezinho;Dionísio Torres;7;20;24.29;3
2103;Siqueira;Mucuripe;6;13;28.98;3
2104;Siqueira;Mucuripe;7;9;36.43;3
2105;Parque Presidente Vargas;Meireles;1;21;25.69;3
2106;Genibaú;Dionísio Torres;2;18;23.95;3
2107;Genibaú;Aldeota;7;10;34.85;3
2108;Genibaú;Meireles;5;10;30.54;3
2109;Genibaú;Mucuripe;6;20;30.39;3
2110;Siqueira;Mucuripe;1;20;23.22;3
2111;Siqueira;Aldeota;1;17;26.17;3
2112;Canindezinho;Dionísio Torres;7;12;23.44;3
2113;Genibaú;Aldeota;5;19;27.8;3
2114;Parque Presidente Vargas;Dionísio Torres;6;2;25.73;3
2115;Siqueira;Dionísio Torres;4;17;32.88;3
2116;Parque Presidente Vargas;Mucuripe;2;20;21.75;3
2117;Canindezinho;Mucuripe;3;13;31.53;3
2118;Genibaú;Aldeota;2;10;29.04;3
2119;Canindezinho;Aldeota;3;11;27.98;3
2120;Parque Presidente Vargas;Aldeota;2;13;32.14;3
2121;Siqueira;Mucuripe;5;13;32.8;3
2122;Genibaú;Meireles;7;24;32;3
2123;Siqueira;Dionísio Torres;5;15;24.98;3
2124;Siqueira;Dionísio Torres;6;19;30.24;3
2125;Genibaú;Dionísio Torres;1;17;30.1;3
2126;Siqueira;Meireles;3;17;33.61;3
2127;Parque Presidente Vargas;Meireles;7;22;26.91;3
2128;Siqueira;Meireles;6;11;32.5;3
2129;Genibaú;Dionísio Torres;1;24;35.61;3
2130;Siqueira;Mucuripe;6;14;26.1;3
2131;Siqueira;Dionísio Torres;6;17;30.59;3
2132;Canindezinho;Meireles;3;15;25.31;3
2133;Parque Presidente Vargas;Dionísio Torres;1;20;30.71;3
2134;Siqueira;Aldeota;3;11;25.72;3
2135;Canindezinho;Mucuripe;6;7;27.38;3
2136;Genibaú;Mucuripe;5;24;24.79;3
2137;Siqueira;Meireles;6;21;26.42;3
2138;Genibaú;Dionísio Torres;7;13;33.3;3
2139;Genibaú;Meireles;2;11;30.54;3
2140;Siqueira;Dionísio Torres;4;12;22.92;3
2141;Genibaú;Aldeota;3;8;33.74;3
2142;Genibaú;Dionísio Torres;1;2;30.37;3
2143;Genibaú;Aldeota;2;17;24.93;3
2144;Canindezinho;Meireles;4;17;36.81;3
2145;Siqueira;Mucuripe;6;16;31.66;3
2146;Genibaú;Aldeota;2;8;23.87;3
2147;Genibaú;Mucuripe;6;9;27.2;3
2148;Genibaú;Mucuripe;5;21;30.29;3
2149;Canindezinho;Aldeota;7;17;25.44;3
2150;Parque Presidente Vargas;Mucuripe;1;0;20.74;3
2151;Parque Presidente Vargas;Aldeota;3;17;35.18;3
2152;Genibaú;Aldeota;4;19;27.3;3
2153;Canindezinho;Dionísio Torres;6;14;31.71;3
2154;Parque Presidente Vargas;Dionísio Torres;4;13;34.54;3
2155;Canindezinho;Dionísio Torres;3;22;32.41;3
2156;Canindezinho;Aldeota;3;12;28.05;3
2157;Canindezinho;Dionísio Torres;6;21;28.27;3
2158;Siqueira;Mucuripe;6;24;32.51;3
2159;Siqueira;Dionísio Torres;6;20;30.12;3
2160;Canindezinho;Dionísio Torres;6;20;24.08;3
2161;Parque Presidente Vargas;Meireles;6;9;28.02;3
2162;Parque Presidente Vargas;Dionísio Torres;5;23;23.44;3
2163;Siqueira;Aldeota;7;8;34.03;3
2164;Siqueira;Mucuripe;5;5;24.79;3
2165;Siqueira;Dionísio Torres;1;14;32.47;3
2166;Genibaú;Aldeota;2;20;24.7;3
2167;Genibaú;Meireles;5;20;29.52;3
2168;Siqueira;Dionísio Torres;4;19;30.83;3
2169;Parque Presidente Vargas;Aldeota;2;11;25.27;3
2170;Parque Presidente Vargas;Dionísio Torres;1;17;31.71;3
2171;Genibaú;Mucuripe;2;5;25.84;3
2172;Canindezinho;Mucuripe;4;9;33.29;3
2173;Genibaú;Dionísio Torres;1;10;30.68;3
2174;Parque Presidente Vargas;Mucuripe;4;21;23.03;3
2175;Genibaú;Meireles;5;12;24.03;3
2176;Parque Presidente Vargas;Dionísio Torres;6;20;24.44;3
2177;Canindezinho;Mucuripe;4;8;27.14;3
2178;Genibaú;Dionísio Torres;6;12;30.27;3
2179;Canindezinho;Meireles;2;12;34.21;3
2180;Genibaú;Meireles;4;20;23.54;3
2181;Parque Presidente Vargas;Aldeota;7;21;25.35;3
2182;Genibaú;Aldeota;3;10;28.95;3
2183;Genibaú;Mucuripe;2;13;26.3;3
2184;Canindezinho;Meireles;2;11;29.64;3
2185;Genibaú;Meireles;7;10;24.58;3
2186;Siqueira;Mucuripe;7;4;25.73;3
2187;Canindezinho;Meireles;3;17;24.21;3
2188;Genibaú;Aldeota;6;10;29.24;3
2189;Siqueira;Aldeota;2;23;34;3
2190;Canindezinho;Aldeota;4;5;24.78;3
2191;Genibaú;Mucuripe;4;24;24.49;3
2192;Canindezinho;Meireles;5;19;32.09;3
2193;Canindezinho;Mucuripe;4;4;31.57;3
2194;Canindezinho;Mucuripe;3;20;26.85;3
2195;Canindezinho;Mucuripe;4;19;26.04;3
2196;Canindezinho;Aldeota;5;12;23.28;3
2197;Genibaú;Aldeota;2;14;23.39;3
2198;Genibaú;Aldeota;3;13;34.82;3
2199;Canindezinho;Mucuripe;7;19;36.46;3
2200;Parque Presidente Vargas;Meireles;2;18;26.73;3
2201;Canindezinho;Meireles;6;20;29.95;3
2202;Parque Presidente Vargas;Mucuripe;2;20;22.8;3
2203;Genibaú;Aldeota;1;19;24.39;3
2204;Siqueira;Mucuripe;2;19;32.03;3
2205;Canindezinho;Mucuripe;7;1;30.64;3
2206;Genibaú;Meireles;1;17;30.14;3
2207;Siqueira;Dionísio Torres;2;15;27.08;3
2208;Siqueira;Mucuripe;7;19;25.02;3
2209;Siqueira;Dionísio Torres;2;21;30.55;3
2210;Canindezinho;Meireles;1;20;25.18;3
2211;Siqueira;Dionísio Torres;7;21;33.31;3
2212;Siqueira;Mucuripe;4;23;27.53;3
2213;Canindezinho;Mucuripe;3;10;24.44;3
2214;Parque Presidente Vargas;Dionísio Torres;6;17;31.67;3
2215;Siqueira;Aldeota;2;20;30.26;3
2216;Canindezinho;Dionísio Torres;3;14;29.37;3
2217;Siqueira;Mucuripe;1;24;34.72;3
2218;Canindezinho;Mucuripe;7;23;23.66;3
2219;Genibaú;Meireles;2;18;25.98;3
2220;Canindezinho;Mucuripe;7;20;23.36;3
2221;Siqueira;Mucuripe;2;18;35.8;3
2222;Siqueira;Meireles;5;10;35.21;3
2223;Parque Presidente Vargas;Dionísio Torres;4;11;28.64;3
2224;Parque Presidente Vargas;Meireles;3;10;31.64;3
2225;Genibaú;Mucuripe;5;7;29.52;3
2226;Parque Presidente Vargas;Aldeota;6;12;31.92;3
2227;Parque Presidente Vargas;Meireles;5;8;36.59;3
2228;Genibaú;Dionísio Torres;1;17;24.56;3
2229;Parque Presidente Vargas;Dionísio Torres;6;12;24.27;3
2230;Genibaú;Dionísio Torres;1;0;24.42;3
2231;Siqueira;Meireles;5;13;31.35;3
2232;Siqueira;Mucuripe;5;10;35.62;3
2233;Genibaú;Dionísio Torres;7;6;23.7;3
2234;Siqueira;Dionísio Torres;1;14;33.86;3
2235;Parque Presidente Vargas;Mucuripe;5;18;30.64;3
2236;Siqueira;Aldeota;3;17;31.08;3
2237;Canindezinho;Aldeota;3;17;35.42;3
2238;Parque Presidente Vargas;Dionísio Torres;4;7;34.26;3
2239;Siqueira;Meireles;4;13;25.1;3
2240;Parque Presidente Vargas;Dionísio Torres;2;13;32.12;3
2241;Siqueira;Meireles;6;23;33.07;3
2242;Siqueira;Mucuripe;1;19;36.14;3
2243;Parque Presidente Vargas;Mucuripe;2;24;29.33;3
2244;Genibaú;Meireles;6;20;22.72;3
2245;Canindezinho;Aldeota;6;18;24.45;3
2246;Genibaú;Aldeota;3;7;26.34;3
2247;Parque Presidente Vargas;Mucuripe;7;6;22.21;3
2248;Parque Presidente Vargas;Aldeota;6;9;27.83;3
2249;Genibaú;Meireles;5;18;25.8;3
2250;Genibaú;Mucuripe;2;7;32.13;3
2251;Genibaú;Mucuripe;1;18;35.89;3
2252;Canindezinho;Meireles;6;10;28.48;3
2253;Genibaú;Aldeota;1;5;25.44;3
2254;Siqueira;Aldeota;3;20;27.07;3
2255;Canindezinho;Aldeota;2;20;33.3;3
2256;Genibaú;Mucuripe;7;22;22.11;3
2257;Parque Presidente Vargas;Mucuripe;7;17;35.54;3
2258;Canindezinho;Mucuripe;2;21;30.83;3
2259;Siqueira;Aldeota;4;8;28.33;3
2260;Canindezinho;Dionísio Torres;3;7;27.73;3
2261;Genibaú;Mucuripe;7;17;25.64;3
2262;Canindezinho;Dionísio Torres;6;10;28.2;3
2263;Genibaú;Meireles;2;18;29.64;3
2264;Siqueira;Aldeota;6;18;25.11;3
2265;Parque Presidente Vargas;Meireles;6;13;22.39;3
2266;Genibaú;Dionísio Torres;1;7;27.95;3
2267;Genibaú;Mucuripe;7;5;31.28;3
2268;Siqueira;Mucuripe;6;10;30.97;3
2269;Genibaú;Meireles;1;9;33.08;3
2270;Genibaú;Meireles;4;20;33.74;3
2271;Genibaú;Dionísio Torres;6;10;26.54;3
2272;Genibaú;Aldeota;2;20;25.94;3
2273;Genibaú;Aldeota;5;19;29.83;3
